companyName,companyLogo,company_id
Công Ty CP Xây Lắp Và Dịch Vụ Toàn Cầu,https://images.vietnamworks.com/pictureofcompany/66/11225290.png,1
Công Ty Cổ Phần Đầu Tư Và Công Nghệ Bắc Hà,https://images.vietnamworks.com/pictureofcompany/0e/11220870.png,2
Qtl Logistics,https://images.vietnamworks.com/pictureofcompany/d4/10968807.png,3
Vina-Sanwa Company Liability Limited,https://images.vietnamworks.com/pictureofcompany/49/11125379.png,4
Esoft Vietnam,https://images.vietnamworks.com/pictureofcompany/2c/11314188.png,5
CÔNG TY TNHH LEN DECOR,https://images.vietnamworks.com/pictureofcompany/89/11376441.png,6
CÔNG TY TNHH EREX SAKURA BIOMASS TUYÊN QUANG,https://images.vietnamworks.com/pictureofcompany/8d/11376860.png,7
Microtechno Vietnam,https://images.vietnamworks.com/pictureofcompany/1f/10880689.png,8
K.d. Feddersen Group,https://images.vietnamworks.com/pictureofcompany/d4/11197204.jpg,9
Trường Tiểu Học Jean Piaget,https://images.vietnamworks.com/pictureofcompany/95/10784623.png,10
Casla Group,https://images.vietnamworks.com/pictureofcompany/6e/11117763.png,11
TRƯỜNG TIỂU HỌC JEAN PIAGET,https://images.vietnamworks.com/pictureofcompany/95/10784623.png,12
Eup Group,https://images.vietnamworks.com/pictureofcompany/89/11121830.png,13
Vietcap Securities Joint Stock Company,https://images.vietnamworks.com/pictureofcompany/a2/11185681.png,14
Công Ty TNHH Gentherm Việt Nam,https://images.vietnamworks.com/pictureofcompany/d4/11326945.jpg,15
Tổng Công Ty Bảo Hiểm BIDV (BIC),https://images.vietnamworks.com/pictureofcompany/eb/6995419.jpg,16
"Austral Migration Consultancy Co.,Ltd",https://images.vietnamworks.com/pictureofcompany/2e/11215639.png,17
CÔNG TY TNHH ĐẦU TƯ PHÁT TRIỂN GAMMA,https://images.vietnamworks.com/pictureofcompany/09/11376466.png,18
Công Ty Cổ Phần FORD Thăng Long,https://images.vietnamworks.com/pictureofcompany/91/11226875.png,19
"Orient Express Container Co., Ltd",https://images.vietnamworks.com/pictureofcompany/ee/10784479.png,20
Ngân Hàng TMCP Á Châu (ACB),https://images.vietnamworks.com/pictureofcompany/95/11125340.png,21
Megasun Group,https://images.vietnamworks.com/pictureofcompany/33/11289930.png,22
Jotun Paints Vietnam Company Limited,https://images.vietnamworks.com/pictureofcompany/03/11345943.png,23
Tập Đoàn Ecopark,https://images.vietnamworks.com/pictureofcompany/10/11125780.png,24
Công Ty TNHH Thương Mại Xuất Nhập Khẩu D&C VINA,https://images.vietnamworks.com/pictureofcompany/84/11348919.png,25
"Bateco Vietnam., JSC",https://images.vietnamworks.com/pictureofcompany/33/11242386.png,26
"Công ty TNHH Tiếp Vận Dịch vụ Hàng Hóa Đặc Biệt – Special Cargo Services Co., Ltd (SCS)",https://images.vietnamworks.com/pictureofcompany/2a/10992000.png,27
Công Ty Cổ Phần Vàng Bạc Đá Quý Phú Nhuận,https://images.vietnamworks.com/pictureofcompany/fe/11242641.png,28
Công Ty TNHH Công Nghệ Welco Việt Nam,https://images.vietnamworks.com/pictureofcompany/f0/10867273.png,29
"Blum Vietnam Co., Ltd",https://images.vietnamworks.com/pictureofcompany/46/11125583.png,30
LG Electronics Development Vietnam Company Limited,https://images.vietnamworks.com/pictureofcompany/10/11366613.png,31
Công Ty TNHH Thiết Bị Thông Minh O-Tech Việt Nam,https://images.vietnamworks.com/pictureofcompany/ff/11366903.png,32
Ngân Hàng Thương Mại Cổ Phần Bảo Việt,https://images.vietnamworks.com/pictureofcompany/59/9012504.png,33
LOTTE Properties HCMC Co.ltd,https://images.vietnamworks.com/pictureofcompany/3b/11066470.png,34
Công Ty Cổ Phần Phát Triển Công Nghệ TECHPRO,https://images.vietnamworks.com/pictureofcompany/8c/11138243.png,35
Instanta Vietnam,https://images.vietnamworks.com/pictureofcompany/9b/10433016.png,36
"C.T.S. Industries (Indochina) Co., Ltd",https://images.vietnamworks.com/pictureofcompany/9d/10238071.png,37
Toyo Ink Compounds Vietnam,https://images.vietnamworks.com/pictureofcompany/9a/11324605.png,38
Công Ty Cổ Phần CPT Group,https://images.vietnamworks.com/pictureofcompany/d1/11158038.png,39
Công Ty TNHH Yaskawa Electric Việt Nam,https://images.vietnamworks.com/pictureofcompany/50/10224422.png,40
EMG Education,https://images.vietnamworks.com/pictureofcompany/7e/10225077.png,41
Công Ty TNHH Thương Mại - Dịch Vụ Đại Thống,https://images.vietnamworks.com/pictureofcompany/d4/11359843.jpg,42
Công Ty Merchize,https://images.vietnamworks.com/pictureofcompany/34/11128378.png,43
Vinfast TRADING AND Production JSC,https://images.vietnamworks.com/pictureofcompany/25/10816736.png,44
Công ty cổ phần dịch vụ công nghệ Beam,https://images.vietnamworks.com/pictureofcompany/d8/11145285.png,45
"Anam Electronics Vietnam Co.,ltd",https://images.vietnamworks.com/pictureofcompany/03/10124084.jpg,46
The Representative Office of Otto International (Vietnam) LTD.,https://images.vietnamworks.com/pictureofcompany/4e/11051521.png,47
Công Ty Cổ Phần Sản Xuất Và Kinh Doanh VinFast - Thành Viên Của Vingroup,https://images.vietnamworks.com/pictureofcompany/25/10816736.png,48
Công Ty Cổ Phần Hưng Gia Nam,https://images.vietnamworks.com/pictureofcompany/e1/10607197.png,49
"Orion Food Vina Co,. Ltd - Head Office",https://images.vietnamworks.com/pictureofcompany/eb/10423675.png,50
